P_Id,PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_SDANN2,HRV_SDNNI2,HRV_SDANN5,HRV_SDNNI5,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,anxiety_meter
207,94.38513378762724,653.3806818181819,220.2852111541916,,,,,,,325.7489129463279,326.68189304683443,0.3371468078015366,0.4985591432545215,638.5,204.5988,0.320436648394675,275.5,0.6762423523128899,456.0,845.0,82.95454545454545,93.75,301.0,1438.0,19.55555555555556,351.5625,,,0.0371410900141146,0.1152996582859236,0.0430353929612442,0.1954761412612825,0.3221266269671934,0.1900031879822616,0.5898400569090874,-2.1602208154068867,230.9989818642751,209.961987098314,1.1001943021053169,152370.4017848391,0.9089303571981908,5.889870722700761,763.3632957252499,0.6420454545454546,0.6514285714285714,0.8771929824561403,0.2127659574468085,49.78919212983952,49.7962807308015,49.81867634524546,46.85714285714286,0.5003864367590536,0.4996135632409464,163.4049250794782,163.2786825060747,0.4987331555063677,0.5012668444936322,148.27734282364017,148.65350864151594,0.4996384947375583,0.5003615052624416,156.0245812926111,156.1374295170008,0.4915066625044082,1.858280559174052,0.8052542017011007,0.9893199255912196,-0.4386281271775676,-0.2999701165374109,-0.4009483670367135,0.0012248591835485,0.2245852096529354,0.6098462828511501,0.1899309421548285,0.7557202097414213,0.660754738664007,1.409507873482743,0.4081006395004787,-1.0,1.5946039928388662e-05,0.0026373648063656,0.8762808724210611,2.096535975039136,7.257671533385438,1.6262995888518708,1.3201249243285764,1.422983920313099,2.061100868941086,1.838002716094445,2.0168672423846328,5.770212926104061,1.0595783549200706,15.0
208,67.97921641509976,918.15625,513.8209462474565,,,,,,,618.7635208517404,622.0126149597714,0.5596225547094588,0.6739196306203225,789.0,402.5259,0.5101722433460075,561.5,0.8303995451124392,514.0,1180.0,90.625,96.875,357.0,3552.0,48.0,0.0,,,0.0257731842267423,0.0208673620152361,0.0017946287879702,0.0484351750299488,1.235095466687368,0.5321170866174445,0.430830734116957,-3.869568966685532,439.8293380216314,581.2662339362623,0.7566745018769834,803173.1152041481,1.3215722183309084,6.611779272768339,3072.7412248959954,0.6041666666666666,0.6210526315789474,0.864406779661017,0.1851851851851851,50.72374353376679,50.48864062640995,50.41475949155553,50.526315789473685,0.4977750765908564,0.5022249234091438,310.33028047343913,311.714288848523,0.5326785826447361,0.4673214173552635,424.23618926401343,397.3588937386376,0.519969599879218,0.4800304001207822,371.6727238175915,357.11334916629363,0.7952003099736425,2.008480724761094,0.9625237365574552,1.442334301091644,-1.098430645000608,-1.164941834156266,-0.2611077076225057,0.0033416891822286,0.3014053088017748,,,,,,,,,,0.8400943306541047,2.0476928433652555,6.564129167387823,1.2907660982839142,1.2476031105161156,1.5276882637101818,1.8565808274679836,1.755760885279854,1.9471636788523063,2.357599366036897,1.2346804688852169,22.0
209,96.37959047919092,627.2705882352941,113.10396204563818,,,,,,,163.44698577753985,163.9325663375087,0.1803112790029492,0.2605685470402282,611.0,46.7019,0.0764351882160392,70.5,0.6919917275169502,578.2,678.2,31.176470588235293,57.647058823529406,322.0,1235.0,13.076923076923077,335.9375,,,0.0546718392366644,0.0903439703826641,0.0563055273935052,0.2013213370128338,0.6051520539234047,0.2715650514141938,0.4487550685047601,-2.404131000389297,115.91782931456596,110.87508360562076,1.045481324973626,40377.00233166388,0.9564972382698724,5.313104182886834,424.2068450468699,0.5588235294117647,0.5680473372781065,0.78125,0.0833333333333333,50.1289288452157,50.68615093558692,49.64614537956137,45.5621301775148,0.4398121210121065,0.5601878789878935,76.87484030180856,86.75958846419334,0.5779631304321411,0.4220368695678589,84.2915476132521,72.02929380131563,0.5058172908906253,0.4941827091093743,80.66847609340874,79.73532892009801,0.5236551443029668,1.7984114003797682,1.247778341427798,1.0286701681020238,0.7171153496687461,0.4990401750796748,-0.621834288461197,0.0071857567716737,0.4581283187745272,0.50398356380771,2.750208295830766,0.9181232603444588,1.2909771609184326,-1.8666845975617503,-1.4873299081910616,-0.3644270322581714,0.0012701351152597,0.4231091326479934,0.8392694649039592,0.956979065910933,6.790072038989795,0.7539005793855995,1.2597203853183534,1.2977644987345498,1.4251570882963642,1.2428315256686808,1.9298199894090704,2.535723262483518,0.9588623564413497,15.0
210,109.40288518756836,551.7111111111111,137.82661975985576,,,,,,,167.81461875729633,168.443759060209,0.2498166467633427,0.3041711783170876,520.0,97.8516,0.1881761538461538,132.5,0.8213028208179466,459.2,608.6,45.18518518518518,74.81481481481481,381.0,1393.0,16.875,109.375,,,0.0516164958358952,0.0439771094051333,0.0054204260636193,0.1010140313046479,1.1737127913611851,0.510983426453155,0.4353564434281697,-3.1240860212284947,119.10772428002674,154.7565360693297,0.769645840526357,57908.031226007166,1.2992989078146708,5.469708909876761,804.2999931682473,0.6444444444444445,0.6567164179104478,0.8522727272727273,0.3461538461538461,50.23727704140075,50.24058576533536,50.27530362895399,52.98507462686567,0.4966973829747879,0.503302617025212,83.94354529677956,84.49985540762644,0.5049834662385918,0.4950165337614082,109.97338168228714,108.882692736448,0.5019010368181266,0.4980989631818736,97.82807234028095,97.4568272145403,0.7112434585473355,2.8265668881210457,1.1872031674122725,1.5813974144128458,-1.5260992442199548,-1.2852313268209612,-0.3605395652736123,0.0024863349892474,0.5225990897040806,0.686963474632826,1.2566959406970382,-0.5697324660642122,0.0586155042843068,0.9743715151538996,-1.713722943253706,0.0,0.0022748956478269,0.1708297472109531,0.7943766375561223,1.1253518497100086,6.736074856310091,0.7849346510666907,1.1838255039377896,1.3890748307318712,1.4532983467638196,1.464619065989082,1.8646499957312892,2.2848947983698062,0.7863128441167591,15.0
212,109.32094893882746,548.9237288135594,65.57434069780402,,,,,,,30.69645485109855,30.76035701283408,0.1194598397841828,0.0559211658010224,532.0,57.8214,0.1086868421052631,91.5,2.136218694174623,493.0,613.0,3.389830508474576,22.88135593220339,466.0,902.0,12.421052631578949,132.8125,,0.0006181729365936,0.0027177456108332,0.0023056592624133,0.0003483379789897,0.00598991578883,1.178728208082456,0.453720170140168,0.384923485353995,-6.0723886293655465,21.750857035494143,90.18241349187085,0.241187346770829,6162.3746798895,4.146154486910866,4.496718210379188,1495.6408733590854,0.5169491525423728,0.5152838427947598,0.7542372881355932,0.1833333333333333,50.982474774296335,50.896341890704136,51.08336160469469,46.72489082969432,0.5937570562786203,0.4062429437213797,16.76114248599711,13.864114656683824,0.4826723938797285,0.5173276061202714,62.653896314752295,64.86414248102749,0.4887797091287157,0.5112202908712843,45.86091266457542,46.901869125935214,1.2278417514881927,3.221571481055653,1.6177951315487331,1.893536317443668,-2.094725247068149,-0.8955274559271222,-0.4144078635174102,0.0022040762235051,0.5300109764768738,0.7726605340556972,0.8341157676654519,1.0203691745071426,0.7867794835937323,0.8667114524610247,0.7299955133711187,-0.7800446892008626,0.0005741279733401,0.0634082887929092,0.7533378175939833,0.6869359804673046,6.906025133986741,0.5975379328971754,0.90731268800296,1.1249660066269809,1.23660827743543,1.2887626390109936,1.6233094564338786,1.782112389620952,0.3674113285719502,9.0
213,116.44391569249932,525.8214285714286,195.17614710907213,,,,,,,267.93336377754395,268.7390833119699,0.3711833267033906,0.5095520060973464,448.0,77.09519999999999,0.1720874999999999,176.0,0.7284503294301202,404.8,640.8,51.78571428571429,61.30952380952381,301.0,1498.0,8.0,156.25,,,0.0152812727481226,0.0512306267965934,0.0271342309422721,0.0936461304869882,0.2982839309929883,0.1631810376857577,0.5470661364242034,-2.9714177461538243,190.02722817975047,201.04827437341035,0.9451820900825524,120023.43617892514,1.0579971949242708,5.786236166087785,850.8340413257333,0.6904761904761905,0.6894409937888198,0.9009009009009008,0.2368421052631578,49.928625093914334,49.42012180116599,50.51190583395474,50.931677018633536,0.5364220507340112,0.4635779492659886,139.17758656626302,129.3830471567518,0.4322733354965117,0.5677266645034883,132.18420805824329,151.48512721894886,0.4814149867620627,0.5185850132379374,135.7259471552779,140.8682303787965,0.5296843510047894,1.4190458293584638,1.4943186580594126,0.8479736070536401,1.0400828089149337,1.018212539331526,-0.9554786305231442,0.0100630578762281,0.3790883587738897,0.7110593589860286,1.7234920814053738,0.859936161976075,1.5728053996887157,-0.0463711456271518,-1.065985382653238,-0.0863809033973913,0.0194034991398761,0.6495941130430513,0.5886989186814997,0.3097612468854385,6.75836805692151,0.6569823621477101,0.5832887271346883,0.5638860631327888,0.5381490042710592,0.761986977950834,1.986926163568381,2.7163145319944024,0.7920340095834387,7.0
214,125.50243099117525,478.2307692307692,33.55832399386163,,,,,,,21.65858768712444,21.704192277284896,0.0701718211227603,0.0452889882471638,477.0,31.1346,0.0652716981132075,41.75,1.549423465585031,447.6,505.4,4.273504273504273,28.205128205128204,408.0,594.0,8.666666666666666,125.0,,,0.03346623434137,0.0167907035765162,0.0019976374663862,0.0522545753842725,1.993140679832887,0.6404460106175242,0.3213250409756434,-4.086929904272965,15.347181539444843,44.913353882371645,0.341706423876498,2165.4790677160827,2.926488734556033,4.042524100004408,525.7536966715563,0.5726495726495726,0.5720524017467249,0.8244274809160306,0.1896551724137931,50.64052287581698,50.67333287385159,50.60689154638648,48.03493449781659,0.4917245354486318,0.5082754645513683,10.762422653813143,10.942049546399526,0.5051402216449702,0.4948597783550297,31.92136559861863,31.59486944556784,0.5037374250012885,0.4962625749987115,23.820194405797608,23.642802536483888,1.2615542604764125,1.429335313744727,1.4455486105380686,1.8836611935732903,-0.5110932050958947,-1.3090966803467188,-0.1934850914111909,0.001885058439253,0.1880212891412822,0.9534537801631064,0.5205587474848479,1.0302978213618414,1.1090846854572942,0.2692607516116574,-0.5170935651112316,-0.3486494281843839,3.600457440882324e-05,0.012575740564578,0.9778185613891496,1.4014845266138658,6.517920237059628,1.025237195824722,1.5551112279595536,1.320972619061486,1.9324345508073288,1.7349177342851825,1.681407135991697,2.3810720961721703,0.605412670737185,12.0
215,106.64336797710602,570.5869565217391,199.16696195916083,,,,,,,245.5391858813552,246.212727290458,0.3490562826274012,0.4303273726727755,501.5,64.4931,0.1286003988035892,114.75,0.811141249182925,461.6,640.8,60.32608695652174,79.34782608695652,332.0,1528.0,13.142857142857142,218.75,,,0.0482366688234121,0.0672334695689488,0.0104140212172267,0.1258841596095876,0.7174502391839939,0.383182991196124,0.534089990174015,-2.6995840963815416,174.09868908151694,222.2888526757462,0.7832092657182208,121580.2572526338,1.2767979692923797,5.791833167938336,1135.2718227709026,0.6793478260869565,0.6868131868131868,0.92,0.3333333333333333,50.06836588016688,50.1869039301106,50.08522319526871,48.35164835164835,0.5083022469819342,0.4916977530180656,124.12426200216628,122.08007190382858,0.4385315173672438,0.5614684826327563,147.20348438864406,166.56370615395724,0.4650581753789791,0.5349418246210208,136.15377011625532,146.02570349733944,0.8248055762074469,1.6765400929763223,1.238161304537936,1.2186319111429216,-0.5487514067430226,-0.5238534120364489,-0.5116486289095207,0.0017958886114751,0.1786632266386686,0.5441758010979473,1.4396584699688428,1.0959327125871474,0.7900546063095751,0.9425852616979138,1.0818893463088357,-0.7124657428537146,0.0073953561229189,0.3036019361692633,0.789207190134483,0.6781902759481178,6.97666418169239,0.9032583567660653,1.0568223703278206,1.177498744320998,1.0929808812848525,1.1480545224940932,1.907768257871192,2.744729659619188,0.7360006261360121,24.0
216,88.97979790782483,691.2142857142857,429.343966443071,,,,,,,515.7919732917819,517.6348745103566,0.6211445210502216,0.7462113905223672,550.5,123.7971,0.2248811989100817,288.5,0.8323975336471404,480.8,812.4000000000001,66.42857142857143,80.0,350.0,4578.0,14.0,195.3125,,,0.0685469337724476,0.0143951399963895,0.0002051376735984,0.0831472114424356,4.761810846552379,0.8244044819218499,0.1731283556798,-4.2408646296169366,366.02312994492064,484.6305217619838,0.7552622327916138,557274.4930069166,1.3240434336346756,6.453039275393987,2566.6874403116058,0.6642857142857143,0.6764705882352942,0.9239130434782608,0.2105263157894736,50.94344944295586,51.422926739062646,47.772422950264,49.26470588235294,0.3926171051079876,0.6073828948920124,229.3570250232947,285.271717663267,0.6591648471146008,0.3408351528853993,393.4665176270872,282.93257523605456,0.562341850699033,0.4376581493009671,322.0407935503848,284.1045538426447,0.6043261406153254,4.015754716100653,1.6080730388172435,2.0642725305975698,-0.8571213562055711,-0.7748337149811891,-0.3863975705609576,0.0256045736354165,1.883323918104304,-0.8556343496736728,2.018014278078689,-0.7170339291468251,-0.4523913844957357,0.9640868554807068,1.1756152032035212,-0.3688599245675059,0.0175451258021749,0.6872197805948064,0.8238603802230866,0.7702019028990089,6.889927481199775,0.8575047840810923,0.8377553925854218,1.038621728846972,0.956516089976764,0.9130659400801364,1.897683598988494,1.7964854996675186,1.0184690024207097,21.0
217,109.56631327510416,553.2318339100347,155.9933833524682,14.70673977101588,158.31750784779388,,,,,196.16591439957716,196.4960272421096,0.281967475099843,0.354581754656362,500.0,50.4084,0.1008168,81.0,0.7952114608184165,469.0,581.8,42.21453287197232,64.01384083044984,309.0,1270.0,11.56,250.0,,0.0059686331702006,0.0469891980976442,0.0948509198970363,0.0291864365306339,0.1769951876955151,0.4954005522419018,0.265482913459092,0.5358954733854595,-2.3554488842081187,138.94367333911225,168.27036601819526,0.8257168307584719,73450.75909827511,1.2110689315626983,5.572966398454146,815.1480495492797,0.5674740484429066,0.5714285714285714,0.7987804878048781,0.2,49.08205546986056,49.49110787627677,48.62829227990144,48.43205574912892,0.4626496057269146,0.5373503942730854,94.51265055527,101.85741041156076,0.4724969116270596,0.5275030883729406,115.66637541105403,122.21377041547532,0.4685045210109155,0.5314954789890843,105.6204324828143,112.49697270352576,0.7253033714168509,2.033278669836565,1.2838461661325138,1.4737969306874814,-0.8199454512783593,-1.2858521560641507,-0.4065790797037004,0.0036185644911074,0.3503829816009176,0.5868423960260929,0.7084101648493824,0.8686133988627196,0.7207377511536193,0.8754083597969284,0.4479296255782423,-0.7087429783570944,0.000804810473705,0.0510826089277676,0.8560938605853967,0.8055859075044041,7.184779544245444,0.7757673890113733,0.9787531903697426,1.1919468978318462,1.138375417314095,1.145785729334473,1.9325544357731088,2.855719917514951,0.7637473821021394,19.0
218,126.07371876146406,478.0731707317073,112.12046515165638,,,,,,,133.2523767831829,133.47619643612566,0.234525742116112,0.278727995924213,456.0,34.8411,0.0764059210526315,47.5,0.8414143736744703,427.0,489.0,25.203252032520325,54.47154471544715,302.0,1368.0,9.461538461538462,171.875,,,0.0406913919335096,0.030825868857002,0.0033719260514835,0.0748891868419952,1.3200403895271458,0.5433547037887096,0.4116197565616502,-3.4794010435649128,94.38192362697214,114.3587361856858,0.8253145039459245,33908.45830821099,1.2116593071112696,5.2372781544300135,554.2553081954741,0.6869918699186992,0.691358024691358,0.9047619047619048,0.2857142857142857,47.122395833333314,48.45504977010588,44.81848959195696,48.14814814814815,0.3878266810228704,0.6121733189771298,58.798593436951656,73.87292478569833,0.5751567482659083,0.4248432517340915,86.7286241849214,74.53902527520702,0.4992236760026898,0.5007763239973104,74.0915948106574,74.20672242247124,0.6717629011351157,2.447328453405603,0.9273665706506956,1.5015381819715383,-2.158824001133844,-2.160176751692377,-0.2653884134261386,0.0018435284283875,0.3544141208044567,0.895928646506637,0.520744099849265,1.0662031968506105,0.8613482939869657,1.0,0.5939493034852728,-0.8933888121304535,0.0016355505549714,0.057469916098827,0.7835482218121279,0.7449722484245314,6.7264459586255,0.6008272862678208,0.4740417768553616,1.0097918581550027,0.961145116757333,0.9841053430558384,1.9171225350924603,1.941571565738748,0.8394527525968302,21.0
219,95.68551556718715,627.8646288209607,66.59305596713104,,,,,,,69.63217898986927,69.7853404366293,0.1060627608409526,0.1109031721067461,631.0,59.304,0.0939841521394611,83.0,0.9563546184131276,572.8,673.4,20.087336244541483,60.69868995633188,388.0,948.0,12.72222222222222,320.3125,,0.0038970290434023,0.0203796881918287,0.0349592237322366,0.0014534029928433,0.0606893439603111,0.5829559703019433,0.335803402408772,0.5760356176382272,-3.353572932896799,49.34568745015236,80.45264484432359,0.6133507176257114,12472.094770986312,1.6303885709484665,4.802909512203515,524.676290627045,0.3930131004366812,0.3964757709251101,0.4777777777777778,0.0517241379310344,49.90480220012692,50.03126700570619,49.80691059884928,45.37444933920705,0.451969714787108,0.5480302852128921,33.1744819930411,36.530175807041935,0.5337830640109679,0.4662169359890319,58.77907144023511,54.93313046851237,0.5114184677387055,0.4885815322612944,47.725912746027554,46.64816484902699,0.9587735774652376,2.860650571880383,1.4444151741758993,1.5893065909889,-1.401598014641042,-0.477819815749247,-0.4493501868990033,0.0011176418990961,0.4440137288808854,0.5904889901392963,0.903162652103931,0.748642341469858,1.042070316191262,-0.3927648142406577,-1.3994232973198977,-0.1751105971467498,0.0008169087114386,0.07838349978765,1.0361696371855973,1.5281387079363915,6.962486949797784,1.048252099240526,1.3266209823793689,1.3895498256320131,1.9601390318424647,1.6431444511302082,1.8576103807266728,2.694537439160153,0.8900406047620985,14.0
